id,scrape_id,last_scraped,name,host_id,street,city,latitude,longitude,is_location_exact
4380033,2.02E+13,7/12/2018,Mediterranean Garden Cottage,22742885,"Thornbury, VIC, Australia",Thornbury,-37.76100828,145.0143383,t
4380357,2.02E+13,7/12/2018,Melbourne Paradise Oasis,22744268,"Southbank, VIC, Australia",Southbank,-37.82382525,144.9670296,f
4380508,2.02E+13,7/12/2018,Stunning Victorian Terrace House ,22417514,"South Yarra, VIC, Australia",South Yarra,-37.84799762,145.0023029,f
4387065,2.02E+13,7/12/2018,Quiet Victorian Living near University & Hospitals,7146549,"Parkville, VIC, Australia",Parkville,-37.79563437,144.9572575,t
4387674,2.02E+13,7/12/2018,Sunny home with garden views,7097024,"Thornbury, VIC, Australia",Thornbury,-37.7570672,144.9830896,t
4388799,2.02E+13,7/12/2018,Melbourne CBD 2Br 2Bth Apt Indoor Pool & balcony,13971190,"Melbourne, VIC, Australia",Melbourne,-37.81523183,144.9536414,t
4390476,2.02E+13,7/12/2018,Standard Double Room with Shared Bathroom,22793004,"Tarneit, VIC, Australia",Tarneit,-37.84719563,144.6860232,t
4395174,2.02E+13,7/12/2018,IDEAL BASE FOR FAMILY,22816508,"Middle Park, VIC, Australia",Middle Park,-37.85757623,144.9676848,f
4395688,2.02E+13,7/12/2018,LUXICO - Mitford St (Elwood),11914644,"Elwood, Melbourne, VIC, Australia","Elwood, Melbourne",-37.8773128,144.9846602,t
4396510,2.02E+13,7/12/2018,Bower Bird Bliss,4497814,"Don Valley, VIC, Australia",Don Valley,-37.76533584,145.5937557,t
4398283,2.02E+13,7/12/2018,"2 bedroom, nice sunshine",22833493,"Doncaster East, VIC, Australia",Doncaster East,-37.80094325,145.1613142,t
4402872,2.02E+13,7/12/2018,Resort living at Sanctuary Lakes,4383786,"Point Cook, VIC, Australia",Point Cook,-37.90575762,144.7636506,f
4407053,2.02E+13,7/12/2018,Beach and gardens heart of St kilda,533795,"St Kilda, VIC, Australia",St Kilda,-37.87092456,144.9833062,t
4411332,2.02E+13,7/12/2018,Everidge,22895158,"Moonee Ponds, VIC, Australia",Moonee Ponds,-37.76282522,144.9075509,t
4414400,2.02E+13,7/12/2018,Beach front 1 or 2 bedroom StKilda Elwood,21539923,"Elwood, VIC, Australia",Elwood,-37.88690412,144.9857123,t
4419297,2.02E+13,7/12/2018,Stroll to Beach and Cafes From Trendy St Kilda Pad,1739996,"St Kilda, VIC, Australia",St Kilda,-37.85775466,144.9805957,t
