,STOP_NAME,LATITUDE,LONGITUDE
228,Southern Cross Railway Station (Melbourne City),-37.817936,144.951411
229,Hawksburn Railway Station (South Yarra),-37.844591,145.002142
230,Ascot Vale Railway Station (Ascot Vale),-37.775306,144.921821
231,Flagstaff Railway Station (Melbourne City),-37.811981,144.955654
232,Melbourne Central Railway Station (Melbourne City),-37.809939,144.962594
233,Hawksburn Railway Station (South Yarra),-37.844591,145.002142
234,Melbourne Central Railway Station (Melbourne City),-37.809939,144.962594
235,Balaclava Railway Station (Balaclava),-37.869488,144.993512
236,Richmond Railway Station (Richmond),-37.824074,144.990164
237,South Yarra Railway Station (South Yarra),-37.838449,144.992342
238,South Yarra Railway Station (South Yarra),-37.838449,144.992342
239,Moreland Railway Station (Coburg),-37.754485,144.961823
240,Jewell Railway Station (Brunswick),-37.774987,144.958717
241,Flinders Street Railway Station (Melbourne City),-37.818305,144.966964
242,Melbourne Central Railway Station (Melbourne City),-37.809939,144.962594
243,South Yarra Railway Station (South Yarra),-37.838449,144.992342
244,Melbourne Central Railway Station (Melbourne City),-37.809939,144.962594
245,Parliament Railway Station (Melbourne City),-37.811054,144.972911
246,North Richmond Railway Station (Richmond),-37.810398,144.9925
247,Southern Cross Railway Station (Melbourne City),-37.817936,144.951411
248,South Yarra Railway Station (South Yarra),-37.838449,144.992342
249,South Yarra Railway Station (South Yarra),-37.838449,144.992342
250,Balaclava Railway Station (Balaclava),-37.869488,144.993512
251,Jolimont-MCG Railway Station (East Melbourne),-37.816527,144.984098
252,Croxton Railway Station (Northcote),-37.764101,144.997056
253,Melbourne Central Railway Station (Melbourne City),-37.809939,144.962594
254,Rosanna Railway Station (Rosanna),-37.742879,145.06614
255,Pascoe Vale Railway Station (Pascoe Vale),-37.730756,144.928196
256,Melbourne Central Railway Station (Melbourne City),-37.809939,144.962594
257,Balaclava Railway Station (Balaclava),-37.869488,144.993512
258,East Richmond Railway Station (Richmond),-37.8264,144.997066
259,East Richmond Railway Station (Richmond),-37.8264,144.997066
260,Prahran Railway Station (Prahran),-37.849518,144.98986
261,Flinders Street Railway Station (Melbourne City),-37.818305,144.966964
262,Melbourne Central Railway Station (Melbourne City),-37.809939,144.962594
263,Flinders Street Railway Station (Melbourne City),-37.818305,144.966964
264,Flagstaff Railway Station (Melbourne City),-37.811981,144.955654
265,Parliament Railway Station (Melbourne City),-37.811054,144.972911
266,East Richmond Railway Station (Richmond),-37.8264,144.997066
267,Flagstaff Railway Station (Melbourne City),-37.811981,144.955654
268,Balaclava Railway Station (Balaclava),-37.869488,144.993512
269,Burnley Railway Station (Burnley),-37.82756,145.007555
270,Victoria Park Railway Station (Abbotsford),-37.799158,144.994451
