,id,guests_included,station_distance,latitude,longitude
49,438849,1,0.3,-37.82406444,145.0565611
50,438899,4,1.7,-37.83358757,144.9648034
51,448006,4,0.8,-37.87147967,144.9845395
52,448017,4,0.8,-37.87127524,144.9842296
53,448041,4,1.0,-37.87133341,144.982704
54,456950,1,0.9,-37.85397321,144.9819777
55,458168,4,1.0,-37.87273774,144.98305980000004
56,458182,4,1.7,-37.88196825,145.0240133
57,464528,4,3.1,-37.84413534,144.939126
58,466494,6,1.2,-37.81723961,145.0089916
59,467125,3,2.3,-37.78143577,144.87804
60,479281,2,0.9,-37.90883251,144.9907719
61,479333,1,0.6,-37.78642812,145.0018018
62,479736,4,0.3,-37.86946798,144.9964316
63,488819,1,0.9,-37.80306275,144.9767032
64,491993,4,1.0,-37.89715719,145.0305023
65,492012,4,2.8,-37.84102771,144.9379134
66,519819,2,0.4,-37.81456086,144.97400269999997
67,524247,6,1.0,-37.87652049,144.9839825
68,529300,2,1.1,-37.86309655,144.9839189
69,529321,1,0.5,-37.8595681,144.9891792
70,542188,4,1.0,-37.87211941,144.9831294
71,552797,1,0.8,-37.80453202,144.9779256
72,556080,1,1.0,-37.80515791,144.9823125
73,557900,1,0.2,-37.8175183,144.9652275
74,564734,4,1.2,-37.88231634,144.9847267
75,592162,2,0.2,-37.81688978,144.95371540000005
76,614259,2,0.3,-37.83939535,144.9960706
77,621155,1,0.5,-37.82148066,144.9942865
78,624205,4,0.7,-37.82329968,144.9630325
79,628370,1,2.8,-37.84188452,144.9425284
80,633258,1,0.2,-37.85513121,144.9945128
81,639260,2,1.1,-37.80173343,144.97536499999995
82,642782,1,0.4,-37.85221953,144.99330859999995
83,644223,3,0.4,-37.87044205,144.98890980000004
84,657209,2,0.6,-37.86094212,144.9929855
85,661004,1,1.2,-37.79688588,144.9813153
86,662482,12,1.9,-37.835745,144.9647666
87,668738,1,1.2,-37.85946175,144.9790531
88,670329,2,0.8,-37.80318406,144.9853075
89,694376,4,0.9,-37.85972937,144.9831624
90,712261,2,0.3,-37.86827319,144.99646769999995
91,712598,4,0.4,-37.81624757,144.89438080000005
92,728162,1,0.1,-37.8033889,144.994541
93,731330,1,1.9,-37.86025479,144.97122209999995
94,739896,1,1.4,-37.77155778,144.974612
95,752666,2,0.3,-37.80991844,144.9582665
96,754134,2,0.3,-37.81597542,144.967139
97,762695,2,0.9,-37.8146698,145.0015705
98,768096,2,0.9,-37.8339788,144.9837232
99,780441,2,0.7,-37.80536506,144.969482
100,792570,1,0.9,-37.80791656,144.98274719999995
101,802320,4,0.6,-37.82391525,144.9672118
102,806245,4,0.5,-37.80270172,144.8979875
103,809366,2,0.5,-37.80924162,144.9676583
104,817054,4,0.3,-37.8358323,144.9930928
105,817457,4,0.5,-37.80716294,144.967759
106,827095,1,0.9,-37.82655153,144.9668429
107,834720,2,0.9,-37.86168872,144.9988841
108,835521,2,0.8,-37.80302562,144.9852857
109,849118,6,0.9,-37.82461425,144.96121580000005
110,850845,1,0.9,-37.86703998,144.9831486
111,853643,2,0.2,-37.82742429,145.0054045
112,862199,1,0.5,-37.80543660000001,144.962472
113,863143,2,1.6,-37.86070459,144.97510549999996
114,870066,1,0.9,-37.82606678,144.9689518
115,874165,2,1.1,-37.85894839,144.98025790000003
116,875444,1,1.9,-37.83551671,144.9688644
117,875913,2,0.5,-37.82067255,144.9936479
118,881242,3,0.7,-37.77543201,145.022615
119,890726,2,1.8,-37.86293491,144.9729914
120,892787,2,0.3,-37.81479509,144.9861883
121,905969,2,1.1,-37.80357665,144.98161069999995
122,906586,6,0.7,-37.82412507,144.96305780000003
123,911365,6,1.0,-37.80172664,144.97155859999995
124,912966,2,0.3,-37.81412071,144.9726911
125,913004,2,1.7,-37.8635449,144.9749495
126,921611,2,0.3,-37.81530381,144.9666926
127,926682,1,0.2,-37.80903135,144.964441
128,928684,2,1.3,-37.87409054,144.9797995
129,930037,2,1.6,-37.79585364,144.9676917
130,932918,4,0.6,-37.87013977,145.0240959
131,933044,2,0.5,-37.81454533,144.9626686
132,936283,4,0.9,-37.86138507,144.9846011
133,936302,4,0.9,-37.86038206,144.9833386
134,938088,2,0.4,-37.81290171,144.98556519999997
135,944235,1,0.8,-37.80419603,144.9768016
136,952100,1,0.4,-37.76732616,144.9997637
137,956968,2,1.5,-37.78865557,144.9771232
138,964548,5,1.6,-37.83577045,144.9746897
139,966901,1,1.6,-37.80671763,145.0359317
140,971698,1,0.6,-37.80617717,144.9763136
141,982577,1,0.7,-37.84298856,145.0097401
142,984021,2,0.4,-37.81306557,144.9878832
