,id,latitude,longitude,STOP_NAME,LATITUDE,LONGITUDE,station_distance
86,662482,-37.835745,144.9647666,Flinders Street Railway Station (Melbourne City),-37.818305,144.966964,1.9
87,668738,-37.85946175,144.9790531,Windsor Railway Station (Windsor),-37.856053,144.992035,1.2
88,670329,-37.80318406,144.9853075,Collingwood Railway Station (Abbotsford),-37.804526,144.99375,0.8
89,694376,-37.85972937,144.9831624,Windsor Railway Station (Windsor),-37.856053,144.992035,0.9
90,712261,-37.86827319,144.99646769999995,Balaclava Railway Station (Balaclava),-37.869488,144.993512,0.3
91,712598,-37.81624757,144.89438080000005,Yarraville Railway Station (Yarraville),-37.81585,144.889934,0.4
92,728162,-37.8033889,144.994541,Collingwood Railway Station (Abbotsford),-37.804526,144.99375,0.1
93,731330,-37.86025479,144.97122209999995,Windsor Railway Station (Windsor),-37.856053,144.992035,1.9
94,739896,-37.77155778,144.974612,Brunswick Railway Station (Brunswick),-37.767721,144.959587,1.4
95,752666,-37.80991844,144.9582665,Flagstaff Railway Station (Melbourne City),-37.811981,144.955654,0.3
96,754134,-37.81597542,144.967139,Flinders Street Railway Station (Melbourne City),-37.818305,144.966964,0.3
97,762695,-37.8146698,145.0015705,West Richmond Railway Station (Richmond),-37.814949,144.991423,0.9
98,768096,-37.8339788,144.9837232,South Yarra Railway Station (South Yarra),-37.838449,144.992342,0.9
99,780441,-37.80536506,144.969482,Parliament Railway Station (Melbourne City),-37.811054,144.972911,0.7
100,792570,-37.80791656,144.98274719999995,North Richmond Railway Station (Richmond),-37.810398,144.9925,0.9
101,802320,-37.82391525,144.9672118,Flinders Street Railway Station (Melbourne City),-37.818305,144.966964,0.6
102,806245,-37.80270172,144.8979875,Footscray Railway Station (Footscray),-37.801083,144.903199,0.5
103,809366,-37.80924162,144.9676583,Melbourne Central Railway Station (Melbourne City),-37.809939,144.962594,0.5
104,817054,-37.8358323,144.9930928,South Yarra Railway Station (South Yarra),-37.838449,144.992342,0.3
105,817457,-37.80716294,144.967759,Melbourne Central Railway Station (Melbourne City),-37.809939,144.962594,0.5
106,827095,-37.82655153,144.9668429,Flinders Street Railway Station (Melbourne City),-37.818305,144.966964,0.9
107,834720,-37.86168872,144.9988841,Windsor Railway Station (Windsor),-37.856053,144.992035,0.9
108,835521,-37.80302562,144.9852857,Collingwood Railway Station (Abbotsford),-37.804526,144.99375,0.8
109,849118,-37.82461425,144.96121580000005,Flinders Street Railway Station (Melbourne City),-37.818305,144.966964,0.9
110,850845,-37.86703998,144.9831486,Balaclava Railway Station (Balaclava),-37.869488,144.993512,0.9
111,853643,-37.82742429,145.0054045,Burnley Railway Station (Burnley),-37.82756,145.007555,0.2
112,862199,-37.80543660000001,144.962472,Melbourne Central Railway Station (Melbourne City),-37.809939,144.962594,0.5
113,863143,-37.86070459,144.97510549999996,Windsor Railway Station (Windsor),-37.856053,144.992035,1.6
114,870066,-37.82606678,144.9689518,Flinders Street Railway Station (Melbourne City),-37.818305,144.966964,0.9
115,874165,-37.85894839,144.98025790000003,Windsor Railway Station (Windsor),-37.856053,144.992035,1.1
116,875444,-37.83551671,144.9688644,Flinders Street Railway Station (Melbourne City),-37.818305,144.966964,1.9
117,875913,-37.82067255,144.9936479,Richmond Railway Station (Richmond),-37.824074,144.990164,0.5
118,881242,-37.77543201,145.022615,Fairfield Railway Station (Fairfield),-37.779171,145.016905,0.7
119,890726,-37.86293491,144.9729914,Windsor Railway Station (Windsor),-37.856053,144.992035,1.8
120,892787,-37.81479509,144.9861883,Jolimont-MCG Railway Station (East Melbourne),-37.816527,144.984098,0.3
121,905969,-37.80357665,144.98161069999995,Collingwood Railway Station (Abbotsford),-37.804526,144.99375,1.1
122,906586,-37.82412507,144.96305780000003,Flinders Street Railway Station (Melbourne City),-37.818305,144.966964,0.7
123,911365,-37.80172664,144.97155859999995,Parliament Railway Station (Melbourne City),-37.811054,144.972911,1.0
124,912966,-37.81412071,144.9726911,Parliament Railway Station (Melbourne City),-37.811054,144.972911,0.3
125,913004,-37.8635449,144.9749495,Windsor Railway Station (Windsor),-37.856053,144.992035,1.7
126,921611,-37.81530381,144.9666926,Flinders Street Railway Station (Melbourne City),-37.818305,144.966964,0.3
127,926682,-37.80903135,144.964441,Melbourne Central Railway Station (Melbourne City),-37.809939,144.962594,0.2
128,928684,-37.87409054,144.9797995,Balaclava Railway Station (Balaclava),-37.869488,144.993512,1.3
129,930037,-37.79585364,144.9676917,Melbourne Central Railway Station (Melbourne City),-37.809939,144.962594,1.6
130,932918,-37.87013977,145.0240959,Malvern Railway Station (Malvern),-37.866253,145.029294,0.6
131,933044,-37.81454533,144.9626686,Melbourne Central Railway Station (Melbourne City),-37.809939,144.962594,0.5
132,936283,-37.86138507,144.9846011,Windsor Railway Station (Windsor),-37.856053,144.992035,0.9
133,936302,-37.86038206,144.9833386,Windsor Railway Station (Windsor),-37.856053,144.992035,0.9
134,938088,-37.81290171,144.98556519999997,Jolimont-MCG Railway Station (East Melbourne),-37.816527,144.984098,0.4
135,944235,-37.80419603,144.9768016,Parliament Railway Station (Melbourne City),-37.811054,144.972911,0.8
136,952100,-37.76732616,144.9997637,Croxton Railway Station (Northcote),-37.764101,144.997056,0.4
137,956968,-37.78865557,144.9771232,Rushall Railway Station (Fitzroy North),-37.783217,144.992407,1.5
138,964548,-37.83577045,144.9746897,South Yarra Railway Station (South Yarra),-37.838449,144.992342,1.6
139,966901,-37.80671763,145.0359317,Glenferrie Railway Station (Hawthorn),-37.821467,145.036439,1.6
140,971698,-37.80617717,144.9763136,Parliament Railway Station (Melbourne City),-37.811054,144.972911,0.6
141,982577,-37.84298856,145.0097401,Hawksburn Railway Station (South Yarra),-37.844591,145.002142,0.7
142,984021,-37.81306557,144.9878832,West Richmond Railway Station (Richmond),-37.814949,144.991423,0.4
143,985644,-37.87104795,144.98246559999995,Balaclava Railway Station (Balaclava),-37.869488,144.993512,1.0
144,995402,-37.86458786,144.985593,Balaclava Railway Station (Balaclava),-37.869488,144.993512,0.9
145,997505,-37.78306675,145.0400483,Darebin Railway Station (Ivanhoe),-37.774963,145.038476,0.9
146,999115,-37.81621109,144.96349469999996,Flinders Street Railway Station (Melbourne City),-37.818305,144.966964,0.4
147,1002094,-37.8105872,144.9718232,Parliament Railway Station (Melbourne City),-37.811054,144.972911,0.1
148,1004260,-37.80112778,144.97725659999998,Parliament Railway Station (Melbourne City),-37.811054,144.972911,1.2
149,1012462,-37.81873578,144.962195,Flinders Street Railway Station (Melbourne City),-37.818305,144.966964,0.4
150,1019387,-37.85574784,145.0704106,Burwood Railway Station (Glen Iris),-37.851563,145.080511,1.0
151,1040236,-37.85517586,145.070351,Burwood Railway Station (Glen Iris),-37.851563,145.080511,1.0
152,1058005,-37.85477493,145.006392,Toorak Railway Station (Armadale),-37.850774,145.013909,0.8
153,1064493,-37.86935193,144.979623,Balaclava Railway Station (Balaclava),-37.869488,144.993512,1.2
154,1077193,-37.81869916,144.962961,Flinders Street Railway Station (Melbourne City),-37.818305,144.966964,0.4
155,1091282,-37.81904905,144.9601184,Flinders Street Railway Station (Melbourne City),-37.818305,144.966964,0.6
156,1093015,-37.80579191,144.9782208,Parliament Railway Station (Melbourne City),-37.811054,144.972911,0.7
157,1117938,-37.81389905,144.9879965,West Richmond Railway Station (Richmond),-37.814949,144.991423,0.3
158,1125294,-37.8220703,145.0052671,Burnley Railway Station (Burnley),-37.82756,145.007555,0.6
159,1127751,-37.86598405,144.9823435,Balaclava Railway Station (Balaclava),-37.869488,144.993512,1.1
160,1138262,-37.86114796,144.9780139,Windsor Railway Station (Windsor),-37.856053,144.992035,1.4
161,1145231,-37.78107095,145.0073244,Dennis Railway Station (Northcote),-37.779187,145.008242,0.2
162,1160278,-37.8660135,144.9871556,Balaclava Railway Station (Balaclava),-37.869488,144.993512,0.7
163,1175222,-37.80075437,144.96406059999995,Melbourne Central Railway Station (Melbourne City),-37.809939,144.962594,1.0
164,1178955,-37.88306306,145.0145102,Elsternwick Railway Station (Elsternwick),-37.884753,145.000898,1.2
165,1184360,-37.78167117,144.93568369999997,Flemington Bridge Railway Station (North Melbourne),-37.78814,144.939323,0.8
