STOP_ID,STOP_NAME,LATITUDE,LONGITUDE,TICKETZONE,ROUTEUSSP
19841,Flagstaff Railway Station (Melbourne City),-37.81198100,144.95565400,1,"Belgrave,Craigieburn,Cranbourne,Frankston,Glen Waverley,Hurstbridge,Lilydale,Mernda,Pakenham,Sandringham,Sunbury,Upfield,Werribee,Williamstown,Alamein"
19842,Melbourne Central Railway Station (Melbourne City),-37.80993900,144.96259400,1,"Belgrave,Craigieburn,Cranbourne,Frankston,Glen Waverley,Hurstbridge,Lilydale,Mernda,Pakenham,Sandringham,Sunbury,Upfield,Werribee,Williamstown,Alamein"
19843,Parliament Railway Station (Melbourne City),-37.81105400,144.97291100,1,"Belgrave,Craigieburn,Cranbourne,Frankston,Glen Waverley,Hurstbridge,Lilydale,Mernda,Pakenham,Sandringham,Sunbury,Upfield,Werribee,Williamstown,Alamein"
19844,Belgrave Railway Station (Belgrave),-37.90910200,145.35529100,2,Belgrave
19845,Tecoma Railway Station (Tecoma),-37.90811800,145.34299500,2,Belgrave
19846,Upwey Railway Station (Upwey),-37.90369100,145.33133300,2,Belgrave
19847,Alamein Railway Station (Ashburton),-37.86832000,145.07965600,1,Alamein
19848,Ashburton Railway Station (Ashburton),-37.86196800,145.08134400,1,Alamein
19849,Burwood Railway Station (Glen Iris),-37.85156300,145.08051100,1,Alamein
19850,Hartwell Railway Station (Camberwell),-37.84398500,145.07556000,1,Alamein
19851,Willison Railway Station (Camberwell),-37.83571600,145.07029800,1,Alamein
19852,Riversdale Railway Station (Camberwell),-37.83150500,145.06964600,1,Alamein
19853,Camberwell Railway Station (Camberwell),-37.82656700,145.05869700,1,"Belgrave,Lilydale,Alamein"
19854,Flinders Street Railway Station (Melbourne City),-37.81830500,144.96696400,1,"Belgrave,Craigieburn,Cranbourne,Frankston,Glen Waverley,Hurstbridge,Lilydale,Mernda,Pakenham,Sandringham,Sunbury,Upfield,Werribee,Williamstown,Alamein"
19855,Frankston Railway Station (Frankston),-38.14299000,145.12616200,2,"Stony Point,Frankston"
19856,Kananook Railway Station (Seaford),-38.12174200,145.13529500,2,Frankston
19857,Seaford Railway Station (Seaford),-38.10402100,145.12823000,2,Frankston
19858,Carrum Railway Station (Carrum),-38.07489300,145.12241800,2,Frankston
19859,Bonbeach Railway Station (Bonbeach),-38.06294500,145.11968000,2,Frankston
19860,Chelsea Railway Station (Chelsea),-38.05195500,145.11604100,2,Frankston
19861,Edithvale Railway Station (Edithvale),-38.03805600,145.10853600,2,Frankston
19862,Aspendale Railway Station (Aspendale),-38.02722000,145.10215000,2,Frankston
19863,Mordialloc Railway Station (Mordialloc),-38.00658300,145.08765900,2,Frankston
19864,Parkdale Railway Station (Parkdale),-37.99307900,145.07632700,2,Frankston
19865,Mentone Railway Station (Mentone),-37.98186500,145.06516600,2,Frankston
19866,Cheltenham Railway Station (Cheltenham),-37.96665000,145.05455800,2,Frankston
19867,Upper Ferntree Gully Railway Station (Upper Ferntree Gully),-37.89267200,145.30753000,2,Belgrave
19868,Ferntree Gully Railway Station (Ferntree Gully),-37.88169800,145.29525100,2,Belgrave
19869,Boronia Railway Station (Boronia),-37.86045200,145.28438500,2,Belgrave
19870,Bayswater Railway Station (Bayswater),-37.84173000,145.26813600,2,Belgrave
19871,Heathmont Railway Station (Heathmont),-37.82832200,145.24455500,2,Belgrave
19872,Highett Railway Station (Highett),-37.94842500,145.04187200,2,Frankston
19873,Glen Waverley Railway Station (Glen Waverley),-37.87950400,145.16205800,2,Glen Waverley
19874,Syndal Railway Station (Glen Waverley),-37.87623000,145.14978000,2,Glen Waverley
19875,Mount Waverley Railway Station (Mount Waverley),-37.87525500,145.12805600,2,Glen Waverley
19876,Lilydale Railway Station (Lilydale),-37.75551800,145.34771000,2,Lilydale
19877,Mooroolbark Railway Station (Mooroolbark),-37.78474900,145.31240200,2,Lilydale
19878,Croydon Railway Station (Croydon),-37.79543700,145.28059800,2,Lilydale
19879,Ringwood East Railway Station (Ringwood East),-37.81196800,145.25019100,2,Lilydale
19880,Pakenham Railway Station (Pakenham),-38.08061400,145.48637900,2,Pakenham
19881,Officer Railway Station (Officer),-38.06614600,145.41098700,2,Pakenham
19882,Beaconsfield Railway Station (Beaconsfield),-38.05083100,145.36607400,2,Pakenham
19883,Berwick Railway Station (Berwick),-38.04040800,145.34572600,2,Pakenham
19884,Narre Warren Railway Station (Narre Warren),-38.02780900,145.30396900,2,Pakenham
19885,Hallam Railway Station (Hallam),-38.01774000,145.26977700,2,Pakenham
19886,Cranbourne Railway Station (Cranbourne),-38.09953700,145.28059900,2,Cranbourne
19887,Merinda Park Railway Station (Cranbourne North),-38.07900000,145.26351100,2,Cranbourne
19888,Dandenong Railway Station (Dandenong),-37.98996800,145.20972500,2,"Pakenham,Cranbourne"
19889,Yarraman Railway Station (Noble Park),-37.97825500,145.19160000,2,"Pakenham,Cranbourne"
19890,Noble Park Railway Station (Noble Park),-37.96662800,145.17632500,2,"Pakenham,Cranbourne"
19891,Sandown Park Railway Station (Springvale),-37.95650500,145.16282600,2,"Pakenham,Cranbourne"
19892,East Camberwell Railway Station (Camberwell),-37.82589400,145.06819000,1,"Lilydale,Belgrave"
19893,Canterbury Railway Station (Canterbury),-37.82448500,145.08122400,"1,2","Lilydale,Belgrave"
19894,Chatham Railway Station (Surrey Hills),-37.82430000,145.08864800,"1,2","Lilydale,Belgrave"
19895,Surrey Hills Railway Station (Surrey Hills),-37.82414800,145.09877500,"1,2","Lilydale,Belgrave"
19896,Mont Albert Railway Station (Mont Albert),-37.81942700,145.10553000,"1,2","Lilydale,Belgrave"
19897,Laburnum Railway Station (Blackburn),-37.82078000,145.14070300,2,"Lilydale,Belgrave"
19898,Blackburn Railway Station (Blackburn),-37.82007100,145.15001400,2,"Lilydale,Belgrave"
19899,Nunawading Railway Station (Nunawading),-37.82042800,145.17523700,2,"Lilydale,Belgrave"
19900,Mitcham Railway Station (Mitcham),-37.81808700,145.19289200,2,"Lilydale,Belgrave"
19901,Heatherdale Railway Station (Ringwood),-37.81883500,145.21355000,2,"Lilydale,Belgrave"
19902,Ringwood Railway Station (Ringwood),-37.81566000,145.22947400,2,"Lilydale,Belgrave"
19903,Auburn Railway Station (Hawthorn East),-37.82239800,145.04584400,1,"Belgrave,Lilydale,Alamein"
19904,Glenferrie Railway Station (Hawthorn),-37.82146700,145.03643900,1,"Belgrave,Lilydale,Alamein"
19905,Hawthorn Railway Station (Hawthorn),-37.82182600,145.02289900,1,"Belgrave,Lilydale,Alamein"
19906,Burnley Railway Station (Burnley),-37.82756000,145.00755500,1,"Belgrave,Glen Waverley,Lilydale,Alamein"
19907,East Richmond Railway Station (Richmond),-37.82640000,144.99706600,1,"Belgrave,Glen Waverley,Lilydale,Alamein"
19908,Richmond Railway Station (Richmond),-37.82407400,144.99016400,1,"Belgrave,Cranbourne,Frankston,Glen Waverley,Lilydale,Pakenham,Sandringham,Alamein"
19909,Heyington Railway Station (Toorak),-37.83467200,145.02263500,1,Glen Waverley
19910,Kooyong Railway Station (Kooyong),-37.83992900,145.03355200,1,Glen Waverley
19911,Tooronga Railway Station (Malvern),-37.84936600,145.04173400,1,Glen Waverley
19912,Gardiner Railway Station (Glen Iris),-37.85327900,145.05165500,1,Glen Waverley
19913,Springvale Railway Station (Springvale),-37.94950900,145.15345200,2,"Pakenham,Cranbourne"
19914,Westall Railway Station (Clayton South),-37.93849100,145.13883300,2,"Pakenham,Cranbourne"
19915,Clayton Railway Station (Clayton),-37.92468300,145.12053400,2,"Pakenham,Cranbourne"
19916,Huntingdale Railway Station (Oakleigh),-37.91101700,145.10236400,"1,2","Pakenham,Cranbourne"
19917,Oakleigh Railway Station (Oakleigh),-37.90037200,145.08830800,"1,2","Pakenham,Cranbourne"
19918,Hughesdale Railway Station (Hughesdale),-37.89488100,145.07763500,"1,2","Pakenham,Cranbourne"
19919,Murrumbeena Railway Station (Murrumbeena),-37.89019800,145.06737500,1,"Pakenham,Cranbourne"
19920,Carnegie Railway Station (Carnegie),-37.88624100,145.05857500,1,"Pakenham,Cranbourne"
19921,Werribee Railway Station (Werribee),-37.89937800,144.66111800,2,Werribee
19922,Hoppers Crossing Railway Station (Hoppers Crossing),-37.88327600,144.70095500,2,Werribee
19923,Laverton Railway Station (Laverton),-37.86369400,144.77261700,"1,2",Werribee
19924,Aircraft Railway Station (Laverton),-37.86660600,144.76080900,2,Werribee
19925,Westona Railway Station (Altona),-37.86516300,144.81349400,"1,2",Werribee
19926,Altona Railway Station (Altona),-37.86714800,144.82964500,"1,2",Werribee
19927,Seaholme Railway Station (Seaholme),-37.86784200,144.84095800,1,Werribee
19928,Westgarth Railway Station (Northcote),-37.78062100,144.99923300,1,Hurstbridge
19929,Dennis Railway Station (Northcote),-37.77918700,145.00824200,1,Hurstbridge
19930,Fairfield Railway Station (Fairfield),-37.77917100,145.01690500,1,Hurstbridge
19931,Alphington Railway Station (Alphington),-37.77839400,145.03125500,1,Hurstbridge
19932,Darebin Railway Station (Ivanhoe),-37.77496300,145.03847600,1,Hurstbridge
19933,Ivanhoe Railway Station (Ivanhoe),-37.76889700,145.04542500,"1,2",Hurstbridge
19934,Eaglemont Railway Station (Eaglemont),-37.76358600,145.05394300,"1,2",Hurstbridge
19935,Heidelberg Railway Station (Heidelberg),-37.75707300,145.06068600,"1,2",Hurstbridge
19936,Rosanna Railway Station (Rosanna),-37.74287900,145.06614000,2,Hurstbridge
19937,Moorabbin Railway Station (Moorabbin),-37.93435300,145.03673800,2,Frankston
19938,Patterson Railway Station (Bentleigh),-37.92514900,145.03547000,2,Frankston
19939,Bentleigh Railway Station (Bentleigh),-37.91742500,145.03699500,"1,2",Frankston
19940,McKinnon Railway Station (Mckinnon),-37.91030900,145.03829900,"1,2",Frankston
19941,Ormond Railway Station (Ormond),-37.90321200,145.03961300,"1,2",Frankston
19942,Glenhuntly Railway Station (Glen Huntly),-37.88971900,145.04222300,1,Frankston
19943,Caulfield Railway Station (Caulfield East),-37.87745900,145.04252500,1,"Frankston,Glen Waverley,Pakenham,Sandringham,Cranbourne"
19944,Malvern Railway Station (Malvern),-37.86625300,145.02929400,1,"Frankston,Pakenham,Cranbourne"
19945,Armadale Railway Station (Armadale),-37.85645200,145.01932600,1,"Frankston,Pakenham,Cranbourne"
19946,Toorak Railway Station (Armadale),-37.85077400,145.01390900,1,"Frankston,Pakenham,Cranbourne"
19947,Hawksburn Railway Station (South Yarra),-37.84459100,145.00214200,1,"Frankston,Pakenham,Cranbourne"
19948,Sandringham Railway Station (Sandringham),-37.95033000,145.00456100,2,Sandringham
19949,Hampton Railway Station (Hampton),-37.93797700,145.00147100,2,Sandringham
19950,Brighton Beach Railway Station (Brighton),-37.92648400,144.98915400,"1,2",Sandringham
19951,Middle Brighton Railway Station (Brighton),-37.91513400,144.99629900,"1,2",Sandringham
19952,North Brighton Railway Station (Brighton),-37.90488700,145.00260500,"1,2",Sandringham
19953,Gardenvale Railway Station (Brighton),-37.89669500,145.00416800,1,Sandringham
19954,Elsternwick Railway Station (Elsternwick),-37.88475300,145.00089800,1,Sandringham
19955,Ripponlea Railway Station (Ripponlea),-37.87590600,144.99523700,1,Sandringham
19956,Balaclava Railway Station (Balaclava),-37.86948800,144.99351200,1,Sandringham
19957,Windsor Railway Station (Windsor),-37.85605300,144.99203500,1,Sandringham
19958,Prahran Railway Station (Prahran),-37.84951800,144.98986000,1,Sandringham
19959,South Yarra Railway Station (South Yarra),-37.83844900,144.99234200,1,"Frankston,Pakenham,Sandringham,Cranbourne"
19960,Upfield Railway Station (Coolaroo),-37.66607800,144.94674000,2,Upfield
19961,Gowrie Railway Station (Glenroy),-37.70067800,144.95887400,2,Upfield
19962,Fawkner Railway Station (Fawkner),-37.71462100,144.96054500,"1,2",Upfield
19963,Merlynston Railway Station (Coburg North),-37.72093400,144.96131400,"1,2",Upfield
19964,Batman Railway Station (Coburg North),-37.73352300,144.96284100,"1,2",Upfield
19965,Coburg Railway Station (Coburg),-37.74234500,144.96333600,1,Upfield
19966,Moreland Railway Station (Coburg),-37.75448500,144.96182300,1,Upfield
